model,min,max,mean
Apple iPhone 12 128GB,149900.0,149900.0,149900.0
Apple iPhone 12 Pro,169900.0,169900.0,169900.0
Apple iPhone 12 Pro 256GB,179900.0,179900.0,179900.0
Apple iPhone 12 Pro Max,209000.0,209000.0,209000.0
Apple iPhone 12 Pro Max 256GB,229900.0,229900.0,229900.0
Apple iPhone 13,159950.0,159950.0,159950.0
Apple iPhone 13 256GB,205000.0,205000.0,205000.0
Apple iPhone 13 Pro,174900.0,174900.0,174900.0
Apple iPhone 13 Pro 256GB,339900.0,339900.0,339900.0
Apple iPhone 13 Pro 512GB,334900.0,334900.0,334900.0
Apple iPhone 13 Pro Max 256GB,239950.0,239950.0,239950.0
Apple iPhone 14,188950.0,188950.0,188950.0
Apple iPhone 14 256GB,235000.0,235000.0,235000.0
Apple iPhone 14 Plus,214900.0,214900.0,214900.0
Apple iPhone 14 Plus 256GB,309900.0,309900.0,309900.0
Apple iPhone 14 Pro,304900.0,304900.0,304900.0
Apple iPhone 14 Pro 256GB,339900.0,339900.0,339900.0
Apple iPhone 14 Pro Max,339900.0,339900.0,339900.0
Apple iPhone 14 Pro Max 256GB,359900.0,359900.0,359900.0
Apple iPhone 14 Pro Max 512GB,449900.0,449900.0,449900.0
Apple iPhone 15,199950.0,199950.0,199950.0
Apple iPhone 15 256GB,249950.0,249950.0,249950.0
Apple iPhone 15 Plus,249950.0,249950.0,249950.0
Apple iPhone 15 Plus 256GB,299950.0,299950.0,299950.0
Apple iPhone 15 Pro,296900.0,296900.0,296900.0
Apple iPhone 15 Pro 256GB,322000.0,322000.0,322000.0
Apple iPhone 15 Pro 512GB,484000.0,484000.0,484000.0
Apple iPhone 15 Pro Max,349900.0,349900.0,349900.0
Apple iPhone 15 Pro Max 1TB,499500.0,499500.0,499500.0
Apple iPhone 15 Pro Max 512GB,392000.0,392000.0,392000.0
Apple iPhone 16,257950.0,257950.0,257950.0
Apple iPhone 16 256GB,299950.0,299950.0,299950.0
Apple iPhone 16 Pro,363950.0,363950.0,363950.0
Apple iPhone 16 Pro 1TB,539900.0,539900.0,539900.0
Apple iPhone 16 Pro 256GB,388950.0,388950.0,388950.0
Apple iPhone 16 Pro 512GB,464900.0,464900.0,464900.0
Apple iPhone 16 Pro Max,405950.0,405950.0,405950.0
Apple iPhone 16 Pro Max 1TB,550000.0,550000.0,550000.0
Apple iPhone 16 Pro Max 512GB,477950.0,477950.0,477950.0
Apple iPhone SE 3rd generation (2022),159900.0,159900.0,159900.0
iPhone 11,139900.0,152900.0,146400.0
iPhone 13,179900.0,224900.0,202400.0
iPhone 14,209900.0,409900.0,309900.0
iPhone 14 Plus,234900.0,459900.0,347400.0
iPhone 15,219900.0,449900.0,334900.0
iPhone 15 Plus,289900.0,489900.0,389900.0
iPhone 15 Pro,319900.0,619900.0,469900.0
iPhone 15 Pro Max,374900.0,664900.0,519900.0
iPhone 16,264900.0,464900.0,364900.0
iPhone 16 Plus,369900.0,504900.0,437400.0
iPhone 16 Pro,369900.0,649900.0,509900.0
iPhone 16 Pro Max,434900.0,689900.0,562400.0
