model,currency,prices
iPhone 16 Pro Max,LKR,"['434900.00', '689900.00']"
iPhone 16 Pro,LKR,"['369900.00', '649900.00']"
iPhone 16 Plus,LKR,"['369900.00', '504900.00']"
iPhone 16,LKR,"['264900.00', '464900.00']"
iPhone 15 Pro Max,LKR,"['374900.00', '664900.00']"
iPhone 15 Plus,LKR,"['289900.00', '489900.00']"
iPhone 15 Pro,LKR,"['319900.00', '619900.00']"
iPhone 15,LKR,"['219900.00', '449900.00']"
iPhone 14 Plus,LKR,"['234900.00', '459900.00']"
iPhone 14,LKR,"['209900.00', '409900.00']"
iPhone 13,LKR,"['179900.00', '224900.00']"
iPhone 11,LKR,"['139900.00', '152900.00']"
