model,currency,price
Apple iPhone 16 Pro Max 1TB,LKR,550000
Apple iPhone 16 Pro Max 512GB,LKR,477950
Apple iPhone 16 Pro Max,LKR,405950
Apple iPhone 16 Pro 1TB,LKR,539900
Apple iPhone 16 Pro 512GB,LKR,464900
Apple iPhone 16 Pro 256GB,LKR,388950
Apple iPhone 16 Pro,LKR,363950
Apple iPhone 16 256GB,LKR,299950
Apple iPhone 16,LKR,257950
Apple iPhone 15 Pro Max 1TB,LKR,499500
Apple iPhone 15 Pro Max 512GB,LKR,392000
Apple iPhone 15 Pro Max,LKR,349900
Apple iPhone 15 Plus 256GB,LKR,299950
Apple iPhone 15 Plus,LKR,249950
Apple iPhone 15 Pro 512GB,LKR,484000
Apple iPhone 15 Pro 256GB,LKR,322000
Apple iPhone 15 Pro,LKR,296900
Apple iPhone 15 256GB,LKR,249950
Apple iPhone 15,LKR,199950
Apple iPhone 14 Plus 256GB,LKR,309900
Apple iPhone 14 Plus,LKR,214900
Apple iPhone 14 Pro Max 512GB,LKR,449900
Apple iPhone 14 Pro Max 256GB,LKR,359900
Apple iPhone 14 Pro Max,LKR,339900
Apple iPhone 14 Pro 256GB,LKR,339900
Apple iPhone 14 Pro,LKR,304900
Apple iPhone 14 256GB,LKR,235000
Apple iPhone 14,LKR,188950
Apple iPhone SE 3rd generation (2022),LKR,159900
Apple iPhone 13 Pro Max 256GB,LKR,239950
Apple iPhone 13 Pro 512GB,LKR,334900
Apple iPhone 13 Pro 256GB,LKR,339900
Apple iPhone 13 Pro,LKR,174900
Apple iPhone 13 256GB,LKR,205000
Apple iPhone 13,LKR,159950
Apple iPhone 12 Pro Max 256GB,LKR,229900
Apple iPhone 12 Pro Max,LKR,209000
Apple iPhone 12 Pro 256GB,LKR,179900
Apple iPhone 12 Pro,LKR,169900
Apple iPhone 12 128GB,LKR,149900
